DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,Percentile Rank,Environment Grade,College and Career Readiness Grade,Enrollment,% Students with Disabilities,% Overage,% Black or Hispanic,% ELL
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70,380,395,46,A,C,374,0.214,0.064,0.995,0.144
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,28,B,D,429,0.2,0.1,0.984,0.051
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,77,B,C,344,0.212,0.151,0.971,0.387
15K464,PARK SLOPE COLLEGIATE,72,379,416,8,C,B,294,0.19,0.075,0.83,0.116
12X684,WINGS ACADEMY,66,378,374,10,C,C,537,0.236,0.093,0.966,0.039
27Q400,AUGUST MARTIN HIGH SCHOOL,101,377,371,1,D,C,1012,0.231,0.185,0.908,0.049
11X265,BRONX LAB SCHOOL,81,377,391,34,B,C,477,0.18,0.073,0.95,0.063
01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,71,A,B,387,0.245,0.052,0.786,0.039
11X514,THE BRONXWOOD PREPARATORY ACADEMY,48,377,372,38,B,D,418,0.251,0.134,0.926,0.072
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,38,377,404,39,C,B,275,0.269,0.182,0.982,0.04
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,9,C,C,411,0.175,0.139,0.912,0.212
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,83,A,B,317,0.019,0.18,0.505,0.798
18K642,URBAN ACTION ACADEMY,40,376,385,29,C,D,302,0.205,0.149,0.93,0.106
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,44,C,B,309,0.22,0.065,0.929,0.061
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37,375,355,51,C,B,469,0.23,0.111,0.959,0.038
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,70,B,C,399,0.195,0.075,0.912,0.083
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,51,C,C,434,0.24,0.15,0.965,0.111
18K566,BROOKLYN GENERATION SCHOOL,29,374,377,39,B,C,298,0.245,0.208,0.97,0.064
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,373,412,51,C,B,414,0.261,0.116,0.932,0.15
09X231,EAGLE ACADEMY FOR YOUNG MEN,78,373,387,59,B,B,413,0.317,0.077,0.973,0.031
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68,373,370,11,A,D,349,0.264,0.117,0.971,0.129
08X530,BANANA KELLY HIGH SCHOOL,54,373,381,6,D,D,423,0.291,0.17,0.979,0.175
04M495,PARK EAST HIGH SCHOOL,51,373,379,66,B,C,388,0.147,0.023,0.941,0.031
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,26,C,B,419,0.205,0.06,0.907,0.036
10X549,DISCOVERY HIGH SCHOOL,55,372,379,86,A,B,536,0.239,0.103,0.953,0.237
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,30,F,B,357,0.213,0.176,0.961,0.036
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,60,B,B,412,0.252,0.083,0.896,0.104
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,371,368,3,C,C,459,0.235,0.122,0.965,0.072
14K586,LYONS COMMUNITY SCHOOL,31,371,377,29,B,D,310,0.229,0.152,0.965,0.132
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74,370,381,83,A,A,347,0.104,0.092,0.928,0.035
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,369,76,B,C,465,0.361,0.153,0.968,0.069
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,370,371,54,C,A,496,0.228,0.133,0.946,0.173
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,367,89,A,B,294,0.187,0.092,0.908,0.031
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,36,370,372,53,B,C,268,0.235,0.127,0.981,0.011
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,69,C,C,261,0.314,0.211,0.874,0.134
09X252,MOTT HALL BRONX HIGH SCHOOL,67,369,367,65,B,B,367,0.213,0.063,0.97,0.101
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,369,380,15,C,C,550,0.233,0.12,0.973,0.293
08X452,BRONX GUILD,39,369,371,34,C,B,304,0.319,0.155,0.951,0.095
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50,368,384,54,C,A,391,0.184,0.138,0.974,0.074
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,85,A,B,276,0.257,0.199,0.949,0.072
14K610,AUTOMOTIVE HIGH SCHOOL,94,367,376,4,D,B,620,0.332,0.153,0.948,0.055
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63,367,385,21,A,C,442,0.251,0.145,0.957,0.17
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,34,C,C,454,0.2,0.051,0.96,0.033
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,367,379,24,C,A,379,0.156,0.077,0.879,0.084
07X547,NEW EXPLORERS HIGH SCHOOL,28,367,356,34,B,F,440,0.273,0.155,0.989,0.136
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65,366,364,37,B,C,404,0.24,0.124,0.96,0.166
12X271,EAST BRONX ACADEMY FOR THE FUTURE,46,366,378,57,B,B,387,0.271,0.114,0.966,0.106
16K455,BOYS AND GIRLS HIGH SCHOOL,131,365,370,4,B,F,1199,0.219,0.158,0.977,0.028
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102,365,361,18,B,C,433,0.286,0.162,0.97,0.226
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76,365,384,58,A,B,571,0.187,0.117,0.977,0.455
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144,364,379,19,B,C,"1,120",0.173,0.098,0.98,0.171
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,91,B,B,344,0.224,0.055,0.983,0.047
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114,363,368,19,B,A,559,0.234,0.1,0.95,0.131
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94,363,378,64,A,B,688,0.196,0.124,0.975,0.304
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,385,96,A,B,534,0.223,0.056,0.946,0.056
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,18,B,F,364,0.214,0.234,0.97,0.074
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,363,371,6,C,D,324,0.241,0.21,0.951,0.114
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,16,B,D,285,0.2,0.151,0.961,0.06
09X404,SCHOOL FOR EXCELLENCE,32,363,360,52,C,C,382,0.293,0.223,0.984,0.241
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62,362,378,62,B,C,506,0.251,0.111,0.96,0.152
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,362,375,91,A,C,409,0.21,0.183,0.941,0.09
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55,362,376,15,A,B,344,0.218,0.099,0.98,0.288
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,362,372,40,A,C,460,0.22,0.102,0.983,0.048
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,20,C,C,319,0.251,0.088,0.981,0.013
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52,361,367,43,D,C,222,0.293,0.086,0.901,0.081
18K589,ARTS & MEDIA PREPARATORY ACADEMY,48,361,360,12,B,B,276,0.178,0.094,0.986,0.047
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,361,359,67,B,B,320,0.241,0.106,0.984,0.128
09X276,LEADERSHIP INSTITUTE,30,361,353,13,B,C,237,0.253,0.228,0.97,0.232
19K639,BROOKLYN LAB SCHOOL,57,360,385,9,D,D,377,0.244,0.202,0.931,0.191
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,21,C,C,353,0.195,0.096,0.986,0.065
29Q248,QUEENS PREPARATORY ACADEMY,52,360,380,45,C,C,453,0.152,0.113,0.903,0.051
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,13,C,C,433,0.226,0.118,0.972,0.03
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,335,94,A,C,219,0.233,0.091,0.968,0.187
04M680,"HERITAGE SCHOOL, THE",31,358,351,21,C,D,325,0.277,0.092,0.975,0.089
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74,356,363,8,C,C,381,0.202,0.084,0.976,0.123
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,356,379,38,C,A,287,0.24,0.111,0.976,0.077
09X412,BRONX HIGH SCHOOL OF BUSINESS,34,356,376,11,C,C,362,0.268,0.188,0.978,0.285
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,350,96,A,B,384,0.234,0.07,0.966,0.065
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,7,B,D,302,0.248,0.123,0.838,0.222
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,355,355,33,B,D,179,0.279,0.134,0.983,0.028
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,48,354,357,5,C,C,348,0.284,0.158,0.957,0.098
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,354,366,2,F,B,303,0.238,0.145,0.974,0.162
02M303,"FACING HISTORY SCHOOL, THE",76,353,358,67,B,A,412,0.243,0.146,0.959,0.206
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,65,A,C,251,0.143,0.112,0.625,0.171
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27,353,315,15,D,C,354,0.251,0.13,0.986,0.105
17K408,ACADEMY OF HOSPITALITY AND TOURISM,57,352,342,21,B,C,307,0.179,0.205,0.971,0.169
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,352,349,15,C,B,350,0.149,0.054,0.977,0.006
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63,351,375,11,C,C,355,0.225,0.082,0.986,0.099
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,35,B,F,427,0.197,0.126,0.974,0.197
10X546,BRONX THEATRE HIGH SCHOOL,68,348,362,27,A,B,437,0.206,0.089,0.975,0.096
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,67,A,C,261,0.149,0.123,0.981,0.061
12X248,"METROPOLITAN HIGH SCHOOL, THE",49,347,367,77,A,B,324,0.256,0.136,0.969,0.188
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,358,9,C,D,419,0.208,0.074,0.983,0.167
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,342,346,43,B,B,493,0.278,0.089,0.974,0.112
32K552,ACADEMY OF URBAN PLANNING,67,342,364,14,C,C,388,0.253,0.204,0.974,0.286
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,36,B,F,347,0.265,0.153,0.968,0.032
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,339,349,71,A,A,497,0.008,0.213,1,0.869
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,338,349,63,A,C,382,0.228,0.215,0.961,0.105
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,361,44,B,C,343,0.306,0.166,0.95,0.172
02M542,MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,98,A,A,561,0.043,0.098,1,0.679
11X513,NEW WORLD HIGH SCHOOL,72,332,381,93,A,A,416,0.048,0.231,0.832,0.786
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,43,332,357,17,C,F,472,0.233,0.159,0.975,0.275
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,95,A,A,496,0.01,0.153,0.47,0.728
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,40,B,C,357,0.008,0.252,0.297,0.902
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39,324,376,51,A,B,323,0.269,0.176,0.985,0.331
30Q555,NEWCOMERS HIGH SCHOOL,143,323,475,80,C,A,935,0.001,0.373,0.498,0.918
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,321,351,94,B,C,404,0.01,0.399,0.998,0.958
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,323,3,C,D,359,0.028,0.148,0.994,0.916
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54,315,339,84,B,C,315,0.016,0.083,1,0.883
09X403,BRONX INTERNATIONAL HIGH SCHOOL,49,314,312,30,B,D,402,0.025,0.241,0.968,0.915
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,70,A,B,421,0.01,0.216,0.323,0.886
18K563,IT TAKES A VILLAGE ACADEMY,56,313,320,100,A,A,417,0.173,0.273,0.988,0.259
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34,310,324,7,C,D,385,0.026,0.41,0.919,0.94
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90,305,364,99,A,B,351,0.014,0.228,0.464,0.849
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,304,356,62,B,C,487,0.021,0.314,0.916,0.943
12X550,HIGH SCHOOL OF WORLD CULTURES,42,304,323,26,B,C,392,0.005,0.372,0.895,0.89
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49,300,333,67,B,C,380,0.05,0.116,0.997,0.755
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,45,B,C,421,0.043,0.254,0.637,0.941
19K583,MULTICULTURAL HIGH SCHOOL,29,279,322,4,D,F,378,0.019,0.31,1,0.944
